feature,prd_capability,user_classes,first_commit,first_on_staging_date,first_on_main_date,removed_date,source,evidence
Estimate-to-job link + estimated-vs-actual hours comparison,Estimating,"Crew (viewed on Job Report), Admin (viewed on Job Summary)",0855f45,2026-07-06,2026-07-16,2026-07-16,patch-notes-v1.8 code,"backend/app/routers/estimates.py GET /by-job/{job_uuid} (added 0855f45, removed 2e9ae1c); ADR 0019 - estimates do not link to crew-app jobs"
"Furniture/Materials Catalogue (shared, admin CSV import/export)","Money out (reimbursements, materials)","Admin (manage), Crew (search while adding materials/inventory)",b09afb5,2026-07-06,2026-07-16,,patch-notes-v1.8 patch-notes-v2.3 code guide,backend/app/routers/furniture_catalog.py; v2.3 'Shared furniture catalogue'
"Incident log (admin: cost, notes, resolved, filter)",Photos and incidents,Admin,d0a19af,2026-07-06,2026-07-16,,patch-notes-v1.8 patch-notes-v2.3 code guide,Admin.tsx Incidents tab; ADMIN_GUIDE 13.9
"Incident reporting (claim number, attached photos, offline)",Photos and incidents,Crew,d0a19af,2026-07-06,2026-07-16,,prd patch-notes-v1.8 patch-notes-v2.3 code guide,"frontend/src/components/IncidentReport.tsx, backend/app/routers/incidents.py; CREW_GUIDE 8.4"
Job Types configuration (admin-defined job-type tags),Job capture and timeline,"Admin, Crew (picks tags)",b07862d,2026-07-06,2026-07-16,,patch-notes-v2.3 code guide,backend/app/routers/job_types.py; v2.3 'NEW - FOR ADMIN: Job types'
Off-job hours,"Time capture siblings (off-job, office, availability, LD workday)",Crew,a35ea58,2026-07-08,2026-07-16,,prd patch-notes-v1.8 patch-notes-v2.3 code guide,"frontend/src/pages/OffJob.tsx, backend/app/routers/off_job.py"
"Skill ratings on Job Report (1-5 star, gated to admins/designated raters)","Roster, skills, DQ files","Admin, Crew (designated Skill rater)",cb6a1ae,2026-07-06,2026-07-16,,prd patch-notes-v1.8 patch-notes-v2.3 code guide,JobReport.tsx skill rows; CREW_GUIDE 7.7; ADR 0014
"Skills registry (define skills, core/job-specific, per-employee matrix)","Roster, skills, DQ files",Admin,c25917a,2026-07-06,2026-07-16,,prd patch-notes-v1.8 patch-notes-v2.3 code guide,backend/app/routers/skills.py; ADMIN_GUIDE Settings 'Crew Skills (registry)'
Worked Hours (weekly logged-hours summary on Profile),"Time capture siblings (off-job, office, availability, LD workday)",Crew,ce1633f,2026-07-10,2026-07-16,,prd patch-notes-v1.8 code guide,backend/app/routers/hours.py; CREW_GUIDE 2.5
Bulletin (Instagram-lite crew feed),"Crew comms (bulletin, directory, patch notes)","Crew, Admin",4abf073,2026-08-05,2026-08-11,,prd code,"frontend/src/pages/Bulletin.tsx, backend/app/routers/bulletin.py; PRD capability 13 names 'bulletin' (guides predate this ship, not yet documented there)"
"Close-out (variance/cause questions, scope-change editor)",Payroll and close-out,Crew (lead),3bf1191,2026-07-27,2026-08-11,,patch-notes-v2.3 patch-notes-v2.4 code guide,frontend/src/components/CloseoutStepper.tsx; CREW_GUIDE 7.9; v2.4 close-out fixes
DQ Files (driver qualification document tracking),"Roster, skills, DQ files","Admin, Crew (driver, own file)",c0577bb,2026-08-03,2026-08-11,,code guide,"backend/app/routers/dq.py, DqFilesTab.tsx, DqMyFileCard.tsx; ADMIN_GUIDE 'DQ Files admin tab'"
Job checklist (admin-configurable manual/auto items),Job capture and timeline,"Crew, Admin",2db3706,2026-08-03,2026-08-11,,code guide,"frontend/src/components/JobChecklistCard.tsx, backend/app/routers/job_checklist.py; ADMIN_GUIDE Settings > Job Checklist"
"Job-hour corrections (Job Summary override + 3-check initialing, ADR 0032)",Payroll and close-out,Admin,ec37602,2026-08-03,2026-08-11,,code guide,backend/app/routers/job_summary.py Hour corrections; ADMIN_GUIDE 'Correcting hours' / 'Initialing the job'
LD Documents (unified RODS/PODS/BOL browser incl. TRALA exemption reference),Long-distance mode,Crew,7820888,2026-07-29,2026-08-11,,code guide,frontend/src/components/LdDocuments.tsx; CREW_GUIDE 3.2 TRALA exemption note
"Payroll (admin QB-shape hours, correction overrides, finalize & notify)",Payroll and close-out,Admin,0f5fa32,2026-07-28,2026-08-11,,patch-notes-v2.3 code guide,"frontend/src/components/PayrollTool.tsx, backend/app/routers/payroll.py; ADMIN_GUIDE Payroll section"
Report a bug,"Feedback intake (bug reports, feature requests)","Crew, Admin",5716e9b,2026-08-03,2026-08-11,,prd code guide,"frontend/src/pages/ReportBug.tsx, backend/app/routers/bug_reports.py; CREW_GUIDE Tools tab"
Request a feature,"Feedback intake (bug reports, feature requests)","Crew, Admin",5716e9b,2026-08-03,2026-08-11,,prd code guide,"frontend/src/pages/RequestFeature.tsx, backend/app/routers/feature_requests.py; CREW_GUIDE Tools tab"
Bonuses / add-a-line tool (arbitrary payroll line for unlogged pay),Payroll and close-out,Admin,de8de8b,2026-09-09,2026-09-10,,patch-notes-v2.4 code,"backend/app/routers/payroll.py 'add a line'; v2.4 'Bonuses, and the add a line tool'"
Employee Directory (search/call/email crew),"Crew comms (bulletin, directory, patch notes)",Crew,5e00fe9,2026-09-04,2026-09-10,,patch-notes-v2.4 code guide,"frontend/src/pages/EmployeeDirectory.tsx; v2.4 'Employee Directory, in Tools'; CREW_GUIDE 3.3"
"PTO (annual allowance, balance, entries)",Payroll and close-out,Admin,00465c1,2026-09-03,2026-09-10,,patch-notes-v2.4 code guide,backend/app/routers/payroll.py PTO; v2.4 'PTO'; ADMIN_GUIDE PTO section
"Reimbursement QuickBooks ledger tab (search, review status, mark entered)",Payroll and close-out,Admin,e5cc537,2026-09-04,2026-09-10,,patch-notes-v2.4 code guide,backend/app/routers/reimbursement.py QuickBooks ledger; v2.4 'there is a QuickBooks ledger tab'; ADMIN_GUIDE mentions QuickBooks
Tips (record employee tip on payroll screen),Payroll and close-out,Admin,80c540d,2026-09-03,2026-09-10,,patch-notes-v2.4 code guide,"backend/app/db/models/employee_tip.py, backend/app/routers/payroll.py; v2.4 'Tips'"
