id,incident_date,title,area,severity,environment,detection,detection_method,detection_evidence,era,status,introduced_sha,introduced_date,prod_exposure_start,detected_date,fix_shas,fix_date,fix_reached_main_date,fix_path,days_live_in_prod,confidence,env_confidence,environment_basis,source,evidence
BUG-0016,2026-03-24,Password reset TypeError comparing naive vs aware datetimes,auth,blocked-workflow,prod,other,unknown,,pre-staging,fixed,540e3a1,2026-03-12,2026-03-12,,405e6d9,2026-03-24,2026-03-24,direct-to-main,12,high,high,"introducing commit on main 2026-03-12, fix on main 2026-03-24",commit,405e6d9 'fix TypeError in reset_password - SQLite returns naive datetimes even for DateTime(timezone=True) columns'
BUG-0017,2026-03-24,SQLite-only SQL broke sheet export dedup on Postgres,sheets-export,blocked-workflow,staging,other,unknown,,pre-staging,fixed,98fe83d,2026-03-24,,2026-03-24,b072b6b 5c88c5b,2026-03-24,2026-03-24,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,b072b6b 'CURRENT_TIMESTAMP instead of SQLite-only datetime('now')'; 5c88c5b 'replace SQLite-only INSERT OR IGNORE with PostgreSQL-compatible ON CONFLICT'
BUG-0018,2026-03-24,"Sheets export read token.json from filesystem, failing on Render",sheets-export,blocked-workflow,prod,other,unknown,,pre-staging,fixed,,,,,5c88c5b,2026-03-24,2026-03-24,direct-to-main,,high,high,pre-staging era: every commit went straight to main,commit,"5c88c5b 'replace token.json file read with _get_creds(db) ... works on Render, where token.json doesn't exist'"
BUG-0019,2026-03-24,Startup migration runner pointed at wrong alembic.ini path,deploy-infra,blocked-workflow,staging,other,unknown,,pre-staging,fixed,98fe83d,2026-03-24,,2026-03-24,e2221e9,2026-03-24,2026-03-24,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,e2221e9 changes Path(...).parents[2] to parents[1] for alembic.ini
BUG-0020,2026-03-24,requirements.txt saved as UTF-16 broke pip install,deploy-infra,blocked-workflow,prod,other,unknown,,pre-staging,fixed,06a2dd8,2026-02-17,2026-02-17,2026-03-24,ce554c1,2026-03-24,2026-03-24,direct-to-main,35,med,high,"introducing commit on main 2026-02-17, fix on main 2026-03-24",commit,ce554c1 'Fix requirements.txt encoding (UTF-16 -> UTF-8)'
BUG-0021,2026-03-26,Activity log showed only queued events,timeline-events,wrong-data,staging,other,unknown,,pre-staging,fixed,f0c146c,2026-03-26,,,0d698cf,2026-03-26,2026-03-26,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,0d698cf 'base mergedLog on full activityLog (synced + queued) not just queueEvents'
BUG-0022,2026-03-26,Admin map pin colors did not match event types,admin-ui,cosmetic,prod,other,unknown,,pre-staging,fixed,e61c16e,2026-03-25,2026-03-25,,1ee2534 1d24e14,2026-03-26,2026-03-26,direct-to-main,1,high,high,"introducing commit on main 2026-03-25, fix on main 2026-03-26",commit,1d24e14 'fix DEFAULT_PIN_COLORS keys to match actual event types ... arrive and depart were missing'
BUG-0023,2026-03-26,Drive folder query broke on job names with single quotes,drive-upload,degraded,staging,other,unknown,,pre-staging,fixed,1c1ec98,2026-03-26,,,c9a8c4d,2026-03-26,2026-03-26,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,c9a8c4d 'Escape single quotes in Drive query strings to prevent query breakage'
BUG-0024,2026-03-26,Duplicate event taps during geolocation/sync window,timeline-events,wrong-data,prod,other,unknown,,pre-staging,fixed,,,,,2d3840d,2026-03-26,2026-03-26,direct-to-main,,med,high,pre-staging era: every commit went straight to main,commit,2d3840d 'add isSending lock to recordEvent ... preventing duplicate submissions'
BUG-0025,2026-03-26,Events sheet job_name/job_date not populated,sheets-export,wrong-data,prod,other,unknown,,pre-staging,fixed,,,,,1ee2534,2026-03-26,2026-03-26,direct-to-main,,med,high,pre-staging era: every commit went straight to main,commit,1ee2534 'fix job name/date in events ... so Events sheet columns populate correctly'
BUG-0026,2026-03-26,Google discovery docs rebuilt per call caused memory spikes,perf-oom,perf,prod,other,unknown,,pre-staging,fixed,,,,,0cf77c0,2026-03-26,2026-03-26,direct-to-main,,high,high,pre-staging era: every commit went straight to main,commit,"0cf77c0 'every sync/calendar/sheets/drive request re-fetches it, causing memory spikes that exceed Render's limit'"
BUG-0027,2026-03-26,Materials export silently failed when tab missing,sheets-export,data-loss,staging,other,unknown,,pre-staging,fixed,1ee2534,2026-03-26,,,2d3840d,2026-03-26,2026-03-26,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,2d3840d 'fixes materials silently failing when the tab is missing'
BUG-0028,2026-03-26,Photo upload missing python-multipart dependency,drive-upload,blocked-workflow,staging,other,unknown,,pre-staging,fixed,1c1ec98,2026-03-26,,2026-03-26,38568f1,2026-03-26,2026-03-26,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,38568f1 'Required by FastAPI File/Form dependencies (photos upload endpoint)'
BUG-0029,2026-03-26,"Photo upload sent wrong auth token key, HTTP 401",drive-upload,blocked-workflow,staging,other,unknown,,pre-staging,fixed,1c1ec98,2026-03-26,,2026-03-26,77df991,2026-03-26,2026-03-26,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,"77df991 'hardcoded auth_token key sent no token, causing HTTP 401 on every upload'"
BUG-0030,2026-03-26,Selecting a job cleared calendar dropdown events,crew-ui,degraded,staging,other,unknown,,pre-staging,fixed,f0c146c,2026-03-26,,,0d698cf,2026-03-26,2026-03-26,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,0d698cf 'stop clearing calendar events in setPersistedJobUuid so the dropdown stays populated'
BUG-0031,2026-03-26,TS build broke on unused calPlaceholder,deploy-infra,blocked-workflow,staging,other,unknown,,pre-staging,fixed,1c1ec98,2026-03-26,,2026-03-26,3e19714,2026-03-26,2026-03-26,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,3e19714 'use calPlaceholder in JSX to satisfy noUnusedLocals'
BUG-0032,2026-03-26,TS build broke on unused locals after calendar refactor,deploy-infra,blocked-workflow,staging,other,dev-self-found,noUnusedLocals:true was failing the Vercel build,pre-staging,fixed,f0c146c,2026-03-26,,2026-03-26,d563beb,2026-03-26,2026-03-26,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,d563beb 'remove unused locals that broke TypeScript build'
BUG-0033,2026-03-26,created_by missing from Events sheet export,sheets-export,wrong-data,staging,other,unknown,,pre-staging,fixed,f0c146c,2026-03-26,,,6400fd0,2026-03-26,2026-03-26,staging-only-fix,,low,high,bug and fix reached main in the same merge,commit,6400fd0 'fix: add created_by column to Events sheet export'
BUG-0034,2026-03-26,oauth_standalone.py token missing drive.file scope,drive-upload,blocked-workflow,staging,other,unknown,,pre-staging,fixed,1c1ec98,2026-03-26,,2026-03-26,f0a8bdc,2026-03-26,2026-03-26,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,"f0a8bdc 'Script was missing the scope added to the backend, so re-running it would still generate a token without Drive access'"
BUG-0035,2026-03-27,Duplicate Alembic revision a1b2c3d4e5f6 broke startup (first occurrence),deploy-infra,blocked-workflow,staging,other,unknown,,pre-staging,fixed,ddfd1fa,2026-03-27,,2026-03-27,8f9765f,2026-03-27,2026-03-27,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,8f9765f 'Two files shared the same revision ID causing Alembic to fail on startup'
BUG-0036,2026-03-27,Google API SSL DECRYPTION_FAILED_OR_BAD_RECORD_MAC on Render,sheets-export,blocked-workflow,prod,other,unknown,,pre-staging,fixed,,,,,ddfd1fa 648cf8c 9c33e0c,2026-03-27,2026-03-27,direct-to-main,,high,high,pre-staging era: every commit went straight to main,commit,ddfd1fa 'Fix [SSL: DECRYPTION_FAILED_OR_BAD_RECORD_MAC]'; 648cf8c 'Fix materials export SSL error on Render'; 9c33e0c 'drive_upload: use certifi-backed http to fix SSL errors'
BUG-0037,2026-03-27,History sync failures swallowed; conflicting settings contexts,crew-ui,degraded,staging,other,unknown,,pre-staging,fixed,ddfd1fa,2026-03-27,,,bb58050,2026-03-27,2026-03-27,staging-only-fix,,low,high,bug and fix reached main in the same merge,commit,bb58050 'Remove redundant AppSettings ... that conflicted with ThemeContext'; 'sync failures are visible in the UI instead of silently swallowed'
BUG-0038,2026-03-27,"Job UUID random per device, cross-device history could not reconcile",timeline-events,wrong-data,prod,other,unknown,,pre-staging,fixed,f0c146c,2026-03-26,2026-03-26,,25c9049 648cf8c,2026-03-27,2026-03-27,direct-to-main,1,high,high,"introducing commit on main 2026-03-26, fix on main 2026-03-27",commit,25c9049 'each device called crypto.randomUUID() independently ... producing different job UUIDs for the same job across devices'
BUG-0039,2026-03-27,Login page duplicate Forgot password link,auth,cosmetic,staging,other,unknown,,pre-staging,fixed,ddfd1fa,2026-03-27,,,648cf8c,2026-03-27,2026-03-27,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,648cf8c 'Login: remove duplicate Forgot password link'
BUG-0040,2026-03-27,"Materials export built Sheets service twice, OOM",perf-oom,perf,prod,other,unknown,,pre-staging,fixed,,,,,648cf8c,2026-03-27,2026-03-27,direct-to-main,,high,high,pre-staging era: every commit went straight to main,commit,648cf8c 'Fix OOM: build Sheets service once per export instead of twice'
BUG-0041,2026-03-27,"Sheets rows positional, misaligned on column order differences",sheets-export,wrong-data,prod,other,unknown,,pre-staging,fixed,,,,,5d8b0d4,2026-03-27,2026-03-27,direct-to-main,,low,high,pre-staging era: every commit went straight to main,commit,5d8b0d4 'Rows are now built by column name ... so column order in the sheet never causes data misalignment'
BUG-0042,2026-03-27,TS build broke on unused getBoundJobUuid/useRef,deploy-infra,blocked-workflow,staging,other,dev-self-found,noUnusedLocals is enabled; getBoundJobUuid was left declared but never called,pre-staging,fixed,25c9049,2026-03-27,,2026-03-27,d041425 0079a0a,2026-03-27,2026-03-27,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,d041425 'Fix build: remove unused getBoundJobUuid function'; 0079a0a 'Fix build: remove unused useRef import'
BUG-0043,2026-03-27,runtime.txt python- prefix rejected by Render,deploy-infra,blocked-workflow,prod,other,unknown,,pre-staging,fixed,13b4e5e,2026-02-17,2026-02-17,2026-03-27,96d2b0f,2026-03-27,2026-03-27,direct-to-main,38,med,high,"introducing commit on main 2026-02-17, fix on main 2026-03-27",commit,96d2b0f changes 'python-3.11.9' to '3.11.9'
BUG-0044,2026-03-28,API endpoints had no auth guard,auth,degraded,prod,other,unknown,,pre-staging,fixed,,,,,c9cc1db,2026-03-28,2026-03-28,direct-to-main,,high,high,pre-staging era: every commit went straight to main,commit,"c9cc1db 'Add get_current_user guard to /api/sync, /api/calendar/day, /api/jobs/resolve, /api/events, /api/materials ... require_admin to test-email/email-debug'"
BUG-0045,2026-03-28,Admin employees table clipped on mobile,admin-ui,cosmetic,prod,other,unknown,,pre-staging,fixed,3a5b0b5,2026-03-12,2026-03-12,,ab5c495,2026-03-28,2026-03-28,direct-to-main,16,med,high,"introducing commit on main 2026-03-12, fix on main 2026-03-28",commit,ab5c495 'wrap employees table in overflow-x:auto container so it scrolls on mobile instead of clipping'
BUG-0046,2026-03-28,All action buttons showed busy state when one tapped,crew-ui,cosmetic,prod,other,unknown,,pre-staging,fixed,2d3840d,2026-03-26,2026-03-26,,60cde14,2026-03-28,2026-03-28,direct-to-main,2,low,high,"introducing commit on main 2026-03-26, fix on main 2026-03-28",commit,60cde14 'only the tapped button shows ... now'
BUG-0047,2026-03-28,Calendar day query missed last second and all-day events,crew-ui,wrong-data,prod,other,unknown,,pre-staging,fixed,,,,,c9cc1db,2026-03-28,2026-03-28,direct-to-main,,high,high,pre-staging era: every commit went straight to main,commit,"c9cc1db 'end = start + 1 day (was 23:59:59, missed last second & all-day events)'"
BUG-0048,2026-03-28,Clock read localStorage every second,crew-ui,perf,prod,other,unknown,,pre-staging,fixed,,,,,60cde14,2026-03-28,2026-03-28,direct-to-main,,low,high,pre-staging era: every commit went straight to main,commit,60cde14 'saves ~1000 localStorage reads/min'
BUG-0049,2026-03-28,Hardcoded device_id dev-test for every device,offline-sync,wrong-data,prod,other,unknown,,pre-staging,fixed,d80df10,2026-02-17,2026-02-17,,c9cc1db,2026-03-28,2026-03-28,direct-to-main,39,med,high,"introducing commit on main 2026-02-17, fix on main 2026-03-28",commit,c9cc1db 'generates/stores UUID per browser install instead of hardcoded dev-test'
BUG-0050,2026-03-28,Manual Other job inherited previous job's UUID,timeline-events,wrong-data,prod,other,unknown,,pre-staging,fixed,25c9049,2026-03-27,2026-03-27,,c9cc1db,2026-03-28,2026-03-28,direct-to-main,1,med,high,"introducing commit on main 2026-03-27, fix on main 2026-03-28",commit,c9cc1db 'manual jobs don't accidentally inherit a previous job's UUID'
BUG-0051,2026-03-28,Materials double-submitted when online,inventory,wrong-data,prod,other,unknown,,pre-staging,fixed,ddfd1fa,2026-03-27,2026-03-27,,c9cc1db,2026-03-28,2026-03-28,direct-to-main,1,high,high,"introducing commit on main 2026-03-27, fix on main 2026-03-28",commit,c9cc1db 'preventing guaranteed double-submit when online'
BUG-0052,2026-03-28,"Materials total stored as Float, currency drift",inventory,wrong-data,prod,other,unknown,,pre-staging,fixed,ddfd1fa,2026-03-27,2026-03-27,,ce65ed2,2026-03-28,2026-03-28,direct-to-main,1,low,high,"introducing commit on main 2026-03-27, fix on main 2026-03-28",commit,"ce65ed2 'from Float to Numeric(10,2) to avoid floating-point drift on currency values'"
BUG-0053,2026-03-28,N+1 query in sheets export dedup,sheets-export,perf,prod,other,unknown,,pre-staging,fixed,,,,,ce65ed2,2026-03-28,2026-03-28,direct-to-main,,low,high,pre-staging era: every commit went straight to main,commit,ce65ed2 'replace per-event SELECT loop with a single WHERE event_id IN (...) query'
BUG-0054,2026-03-28,OAuth re-auth script returned no refresh_token,auth,degraded,prod,other,unknown,,pre-staging,fixed,31a4f70,2026-03-26,2026-03-26,,286a9f7,2026-03-28,2026-03-28,direct-to-main,2,med,high,"introducing commit on main 2026-03-26, fix on main 2026-03-28",commit,286a9f7 'always yields a refresh_token (not just an access token that expires in 1h)'
BUG-0055,2026-03-28,Online/Offline chip static snapshot,crew-ui,cosmetic,prod,other,unknown,,pre-staging,fixed,0fe8ec9,2026-03-24,2026-03-24,,60cde14,2026-03-28,2026-03-28,direct-to-main,4,med,high,"introducing commit on main 2026-03-24, fix on main 2026-03-28",commit,60cde14 'was a static navigator.onLine snapshot at render time'
BUG-0056,2026-03-28,Open signup let anyone self-provision access,auth,degraded,prod,other,unknown,,pre-staging,fixed,a5a61bf,2026-02-19,2026-02-19,,206d919,2026-03-28,2026-03-28,direct-to-main,37,med,high,"introducing commit on main 2026-02-19, fix on main 2026-03-28",commit,"206d919 'Prevents anyone with the URL from self-provisioning access to job history, photos, and materials data'"
BUG-0057,2026-03-28,Service worker cache rule stale after /api/jobs rename,offline-sync,degraded,staging,other,unknown,,pre-staging,fixed,ce65ed2,2026-03-28,,2026-03-28,206d919,2026-03-28,2026-03-28,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,206d919 'Fix SW runtime cache rule: /jobs -> /api/jobs (stale after Batch 3 rename)'
BUG-0058,2026-03-28,Transient network errors silently logged users out,auth,blocked-workflow,prod,other,unknown,,pre-staging,fixed,a5a61bf,2026-02-19,2026-02-19,,ce65ed2,2026-03-28,2026-03-28,direct-to-main,37,high,high,"introducing commit on main 2026-02-19, fix on main 2026-03-28",commit,ce65ed2 'transient network errors (TypeError) no longer silently log the user out'
BUG-0059,2026-03-28,Vercel build rejected auth header ternaries as HeadersInit,deploy-infra,blocked-workflow,prod,other,dev-self-found,The cached tsBuildInfoFile masked this locally; Vercel's clean build caught it.,pre-staging,fixed,,,,2026-03-28,4ac40c4,2026-03-28,2026-03-28,direct-to-main,,high,high,pre-staging era: every commit went straight to main,commit,4ac40c4 'TypeScript strict mode rejects token ? { Authorization } : {}'
BUG-0060,2026-03-28,"iOS photo input forced camera, no library option",photos-incidents,degraded,prod,other,unknown,,pre-staging,fixed,,,,,60cde14,2026-03-28,2026-03-28,direct-to-main,,low,high,pre-staging era: every commit went straight to main,commit,60cde14 'Remove capture=environment ... instead of being forced to the camera'
BUG-0061,2026-03-28,"materials_submissions table never migrated, POST 500",inventory,data-loss,prod,other,unknown,,pre-staging,fixed,ddfd1fa,2026-03-27,2026-03-27,,418b075,2026-03-28,2026-03-28,direct-to-main,1,high,high,"introducing commit on main 2026-03-27, fix on main 2026-03-28",commit,418b075 'was modeled but never migrated - caused 500 on POST /api/materials'
BUG-0062,2026-03-30,+ Note button invisible on dark card,crew-ui,cosmetic,prod,other,unknown,,pre-staging,fixed,162d252,2026-03-24,2026-03-24,,d96645e,2026-03-30,2026-03-30,direct-to-main,6,high,high,"introducing commit on main 2026-03-24, fix on main 2026-03-30",commit,d96645e 'Fix + Note button invisible against dark card background'
BUG-0063,2026-04-16,DVIR and job_report tables missing Alembic migrations,deploy-infra,blocked-workflow,staging,other,unknown,,pre-staging,fixed,dd8b526,2026-04-16,,2026-04-16,5ce8174,2026-04-16,2026-04-18,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,5ce8174 'fix missing DVIR/job_report Alembic migrations'
BUG-0064,2026-04-16,Full-size photo uploads caused Render OOM,perf-oom,perf,prod,other,unknown,,pre-staging,fixed,1c1ec98,2026-03-26,2026-03-26,,66a9f80,2026-04-16,2026-04-16,direct-to-main,21,high,high,"introducing commit on main 2026-03-26, fix on main 2026-04-16",commit,66a9f80 'Fix memory OOM ... Typical mobile photo shrinks from 8MB to ~600KB'
BUG-0065,2026-04-16,"Materials DELETE returned 200 ok=false, UI desynced",inventory,wrong-data,staging,other,unknown,,pre-staging,fixed,4050dbb,2026-04-16,,,0a6824e,2026-04-16,2026-04-18,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,"0a6824e 'the optimistic-remove frontend treated as success, leaving the UI out of sync with the DB'"
BUG-0066,2026-04-16,Module-level Google lib imports pushed startup memory near cap,perf-oom,perf,prod,other,unknown,,pre-staging,fixed,,,,,5de4eab,2026-04-16,2026-04-16,direct-to-main,,high,high,pre-staging era: every commit went straight to main,commit,"5de4eab 'loaded ~100-150MB of Python modules before any request arrived, pushing the process close to or over Render free tier's 512MB cap'"
BUG-0067,2026-04-16,Password reset link 404 on Vercel (no SPA rewrite),auth,blocked-workflow,prod,other,unknown,,pre-staging,fixed,540e3a1,2026-03-12,2026-03-12,,66a9f80,2026-04-16,2026-04-16,direct-to-main,35,high,high,"introducing commit on main 2026-03-12, fix on main 2026-04-16",commit,66a9f80 'Direct navigation to /reset-password ... was returning 404 because Vercel had no fallback rule'
BUG-0068,2026-04-16,"Service worker hardcoded prod backend URL, staging cached prod API",offline-sync,wrong-data,prod,other,unknown,,pre-staging,fixed,3d4df71,2026-02-20,2026-02-20,,1fff40b,2026-04-16,2026-04-16,direct-to-main,55,med,high,"introducing commit on main 2026-02-20, fix on main 2026-04-16",commit,1fff40b 'every staging build's service worker would intercept and cache requests going to the prod backend'
BUG-0069,2026-04-16,vite.config crashed build when VITE_API_URL unset,deploy-infra,blocked-workflow,staging,other,unknown,,pre-staging,fixed,1fff40b,2026-04-16,,2026-04-16,54c6480 bca6b9b,2026-04-16,2026-04-16,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,"54c6480 'new URL("""") throws a TypeError, which broke Vercel builds'"
BUG-0070,2026-04-17,Job report billing_method enum mismatch,job-report,blocked-workflow,staging,other,unknown,,pre-staging,fixed,0671ab0,2026-04-16,,,b279dee,2026-04-17,2026-04-18,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,b279dee 'Fixed billing_method enum mismatch: backend now accepts the six frontend options'
BUG-0071,2026-04-17,TS build failed on unused FURNITURE_CATEGORIES import,deploy-infra,blocked-workflow,staging,other,dev-self-found,Vercel's TS build (tsc -b) rejects unused imports (TS6133),pre-staging,fixed,b61e81a,2026-04-17,,2026-04-17,0883629,2026-04-17,2026-04-18,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,0883629 'drop unused FURNITURE_CATEGORIES import'
BUG-0072,2026-04-17,Theme settings did not propagate (hardcoded button/css vars),admin-ui,cosmetic,prod,other,unknown,,pre-staging,fixed,d9f7f14,2026-03-25,2026-03-25,,b279dee 1870bfa,2026-04-17,2026-04-18,direct-to-main,24,med,high,"introducing commit on main 2026-03-25, fix on main 2026-04-18",commit,"1870bfa 'index.css ... was overriding --btn-pad, --btn-r, --btn-bg-*, and --font with hardcoded values'; b279dee '.btnPrimary ... previously hardcoded teal/blue'"
BUG-0073,2026-04-18,Bill grid collapsed on narrow phones,job-report,cosmetic,prod,other,unknown,,staging-first,fixed,d80df10,2026-02-17,2026-02-17,2026-04-18,93e26b3,2026-04-18,2026-04-18,promotion,60,low,med,"auto-blame d80df10 (175/211 removed lines): on main 2026-02-17, fix on main 2026-04-18",commit,93e26b3: 'six-column grid stays aligned and scrolls horizontally rather than collapsing'
BUG-0074,2026-04-18,DVIR Pre/Post-Trip buttons overlapped date input,dvir,cosmetic,staging,other,unknown,,staging-first,fixed,58baed9,2026-04-16,,2026-04-18,6483d17,2026-04-18,2026-04-18,staging-only-fix,,high,med,auto-blame 58baed9 (3/4 removed lines): bug and fix reached main together or not at all,commit,6483d17: 'the small button text ended up clipping into the date field'
BUG-0075,2026-04-18,DVIR item chevron touch target too small,dvir,degraded,staging,other,unknown,,staging-first,fixed,dd8b526,2026-04-16,,2026-04-18,93e26b3,2026-04-18,2026-04-18,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,93e26b3: 'DVIR item chevron was 14x14 ... unusable on a bouncing truck'
BUG-0076,2026-04-18,DVIR mechanic-sign callable by any crew member,dvir,wrong-data,prod,other,unknown,,staging-first,fixed,d80df10,2026-02-17,2026-02-17,2026-04-18,6fdfc2c,2026-04-18,2026-04-18,promotion,60,high,med,"auto-blame d80df10 (8/14 removed lines): on main 2026-02-17, fix on main 2026-04-18",commit,6fdfc2c: 'Any crew member could previously POST the endpoint directly with a forged mechanic name and signature'
BUG-0077,2026-04-18,DVIRs not attached to the selected job,dvir,wrong-data,staging,other,unknown,,staging-first,fixed,e963994,2026-04-18,,2026-04-18,171163d,2026-04-18,2026-04-18,staging-only-fix,,low,low,auto-blame e963994 (8/24 removed lines): bug and fix reached main together or not at all,commit,171163d: 'DVIR form reads crew_active_job_uuid_v1 ... so DVIRs done while a job is selected get attached to that job'
